genre,movie,top_50_rank
Sci-Fi,tt10545296,16
Sci-Fi,tt6710474,17
Sci-Fi,tt5264838,18
Sci-Fi,tt6334354,19
Sci-Fi,tt20859464,20
Sci-Fi,tt0816692,21
Sci-Fi,tt12261776,22
Sci-Fi,tt4154796,23
Sci-Fi,tt8760708,24
Sci-Fi,tt10954984,25
Sci-Fi,tt10648342,26
Sci-Fi,tt10872600,27
Sci-Fi,tt1375666,28
Sci-Fi,tt1856101,29
Sci-Fi,tt10365998,30
Sci-Fi,tt1392170,31
Sci-Fi,tt9114286,32
Sci-Fi,tt0076759,33
Sci-Fi,tt4633694,34
Sci-Fi,tt4154756,35
Sci-Fi,tt5153956,36
Sci-Fi,tt0387808,37
Sci-Fi,tt0120915,38
Sci-Fi,tt15978956,39
Sci-Fi,tt2527338,40
Sci-Fi,tt10279472,41
Sci-Fi,tt0120201,42
Sci-Fi,tt5886046,43
Sci-Fi,tt0088763,44
Sci-Fi,tt0107290,45
Sci-Fi,tt0087182,46
Sci-Fi,tt9844522,47
Sci-Fi,tt6723592,48
Sci-Fi,tt0145487,49
Sci-Fi,tt2250912,50
Musical,tt5971474,1
Musical,tt5635026,2
Musical,tt11315808,3
Musical,tt6166392,4
Musical,tt0398286,5
Musical,tt6467266,6
Musical,tt0097757,7
Musical,tt1485796,8
Musical,tt0110357,9
Musical,tt3521164,10
Musical,tt2953050,11
Musical,tt3783958,12
Musical,tt0067992,13
Musical,tt11304740,14
Musical,tt0077631,15
Musical,tt6105098,16
Musical,tt0795421,17
Musical,tt0032138,18
Musical,tt8503618,19
Musical,tt2771200,20
Musical,tt0367594,21
Musical,tt1482459,22
Musical,tt6139732,23
Musical,tt1707386,24
Musical,tt1262426,25
Musical,tt2294629,26
Musical,tt1488589,27
Musical,tt6208148,28
Musical,tt3470600,29
Musical,tt6412452,30
Musical,tt3581652,31
Musical,tt0091369,32
Musical,tt3447590,33
Musical,tt0045152,34
Musical,tt0203009,35
Musical,tt0119282,36
Musical,tt0073629,37
Musical,tt0107977,38
Musical,tt1436562,39
Musical,tt0408236,40
Musical,tt0059742,41
Musical,tt4593060,42
Musical,tt0103639,43
Musical,tt0120762,44
Musical,tt0055614,45
Musical,tt0058331,46
Musical,tt0046183,47
Musical,tt0293508,48
Musical,tt1679335,49
Musical,tt6911608,50
Thriller,tt4873118,1
Thriller,tt6968614,2
Thriller,tt9224104,3
Thriller,tt13375076,4
Thriller,tt10366206,5
Thriller,tt17663992,6
Thriller,tt5433140,7
Thriller,tt27197387,8
Thriller,tt13130024,9
Thriller,tt13560574,10
Thriller,tt4779682,11
Thriller,tt14537248,12
Thriller,tt14209916,13
Thriller,tt7985704,14
Thriller,tt10545296,15
Thriller,tt8080204,16
Thriller,tt9764362,17
Thriller,tt15679400,18
Thriller,tt5537002,19
Thriller,tt10151854,20
Thriller,tt12593682,21
Thriller,tt13269536,22
Thriller,tt11245972,23
Thriller,tt15325794,24
Thriller,tt20859464,25
Thriller,tt8019518,26
Thriller,tt12758060,27
Thriller,tt8772262,28
Thriller,tt14557188,29
Thriller,tt12261776,30
Thriller,tt3291150,31
Thriller,tt1877830,32
Thriller,tt8760708,33
Thriller,tt2911666,34
Thriller,tt10954984,35
Thriller,tt5688068,36
Thriller,tt0468569,37
Thriller,tt1375666,38
Thriller,tt5433138,39
Thriller,tt1856101,40
Thriller,tt18925334,41
Thriller,tt9411972,42
Thriller,tt10365998,43
Thriller,tt1392170,44
Thriller,tt1907668,45
Thriller,tt9603212,46
Thriller,tt7888964,47
Thriller,tt11291274,48
Thriller,tt11564570,49
Thriller,tt0110413,50
Film-Noir,tt0041368,1
Film-Noir,tt0045564,2
Film-Noir,tt0043014,3
Film-Noir,tt0035966,4
Film-Noir,tt0032701,5
Film-Noir,tt0033870,6
Film-Noir,tt0041959,7
Film-Noir,tt0036775,8
Film-Noir,tt0032976,9
Film-Noir,tt0037913,10
Film-Noir,tt0037382,11
Film-Noir,tt0049406,12
Film-Noir,tt0048424,13
Film-Noir,tt0040506,14
Film-Noir,tt0039689,15
Film-Noir,tt0044079,16
Film-Noir,tt0052311,17
Film-Noir,tt0051713,18
Film-Noir,tt0038787,19
Film-Noir,tt0041967,20
Film-Noir,tt0038355,21
Film-Noir,tt0041555,22
Film-Noir,tt0051036,23
Film-Noir,tt0033987,24
Film-Noir,tt0037008,25
Film-Noir,tt0023427,26
Film-Noir,tt0038109,27
Film-Noir,tt0036342,28
Film-Noir,tt0044040,29
Film-Noir,tt0038559,30
Film-Noir,tt0042593,31
Film-Noir,tt0037865,32
Film-Noir,tt0039302,33
Film-Noir,tt0039211,34
Film-Noir,tt0034248,35
Film-Noir,tt0046878,36
Film-Noir,tt0042208,37
Film-Noir,tt0046126,38
Film-Noir,tt0037884,39
Film-Noir,tt0037365,40
